id,location,lat,lng
1,AMAZONAS,-5.63917,-78.5317
2,ANCASH,-9.07444,-78.5936
3,APURIMAC,-13.6375,-72.8786
4,AREQUIPA,-16.3989,-71.5369
5,AYACUCHO,-13.1603,-74.2258
6,CAJAMARCA,-7.15639,-78.5156
7,CALLAO,-12.0542,-77.1289
8,CUSCO,-13.5167,-71.9789
9,HUANCAVELICA,-12.7869,-74.9731
10,HUANUCO,-9.92944,-76.2397
11,ICA,-14.0639,-75.7292
12,JUNIN,-11.1614,-75.9981
13,LA LIBERTAD,-8.11167,-79.0286
14,LAMBAYEQUE,-6.77361,-79.84
15,LIMA PROVINCIAS,-10.7567,-77.7606
16,LIMA,-12.0453,-77.0311
17,LORETO,-4.50667,-73.5756
18,MADRE DE DIOS,-12.6183,-70.3947
19,MOQUEGUA,-17.6444,-71.3453
20,PASCO,-10.6028,-75.4389
21,PERUANOS RESIDENTES EN EL EXTRANJERO,0,0
22,PIURA,-5.19722,-80.6267
23,PUNO,-15.8406,-70.0281
24,SAN MARTIN,-6.51389,-76.7408
25,TACNA,-18.0136,-70.2506
26,TUMBES,-3.56472,-80.4539
27,UCAYALI,-7.34694,-75.0028